riskyGain,riskyLoss,alternative,isi,iti,loc,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,pracHideLine.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,"[1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5]","[1.5, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5]",30.224162600003183,32.22372000000905,return,2.7995735999720637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_14h46.48.380,cgeRDMtask,2022.2.1,60.06987328067414,
,,,,,,,,,,,,,,,,35.05239870000514,37.0493509999942,v,1.350180300010834,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_14h46.48.380,cgeRDMtask,2022.2.1,60.06987328067414,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,,,38.45182869999553,38.45182869999553,38.45182869999553,38.45182869999553,38.45182869999553,38.45182869999553,38.45182869999553,38.45182869999553,38.45182869999553,38.45182869999553,v,1.3868155000091065,42.42494570001145,44.438702699990245,44.438702699990245,44.438702699990245,44.438702699990245,44.438702699990245,44.438702699990245,44.438702699990245,0,45.453731799992966,49.084234400012065,,,999,2023-09-28_14h46.48.380,cgeRDMtask,2022.2.1,60.06987328067414,
53.27,0,35.16,1,3,1,0,1,1,1,,,,,,,,,,,49.084234400012065,49.084234400012065,49.084234400012065,49.084234400012065,49.084234400012065,49.084234400012065,49.084234400012065,49.084234400012065,49.084234400012065,49.084234400012065,v,1.778934100002516,53.07542410001042,54.09075080000912,54.09075080000912,54.09075080000912,54.09075080000912,54.09075080000912,54.09075080000912,54.09075080000912,53.27,55.106111100001726,60.33119140000781,,,999,2023-09-28_14h46.48.380,cgeRDMtask,2022.2.1,60.06987328067414,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.33119140000781,60.33119140000781,,,,,,
