riskyGain,riskyLoss,alternative,isi,iti,loc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,vLeft.stopped,nRight.stopped,choice1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,37.603016399996704,39.60495229999651,return,10.688434300012887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_16h07.02.899,CGTriskyDMtask,2022.2.4,59.968540506700734,
,,,,,,,,,,,,,,50.32164879998891,52.319004599994514,v,0.4591421000077389,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_16h07.02.899,CGTriskyDMtask,2022.2.4,59.968540506700734,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,52.86101769999368,52.86101769999368,52.86101769999368,52.86101769999368,52.86101769999368,52.86101769999368,52.86101769999368,54.79884069999389,54.79884069999389,54.79884069999389,None,56.812227699992945,58.82532540000102,58.82532540000102,58.82532540000102,58.82532540000102,58.82532540000102,58.82532540000102,nan,59.841039699997054,60.88046159999794,,,,,001,2023-04-24_16h07.02.899,CGTriskyDMtask,2022.2.4,59.968540506700734,
53.27,0,35.16,1,3,1,0,1,1,1,,,,,,,,,60.88046159999794,60.88046159999794,60.88046159999794,60.88046159999794,60.88046159999794,60.88046159999794,60.88046159999794,62.853292999992846,62.853292999992846,62.853292999992846,None,64.8665125999978,65.88176309999835,65.88176309999835,65.88176309999835,65.88176309999835,65.88176309999835,65.88176309999835,nan,66.89684549999947,69.92491419998987,64.85035129998869,64.85035129998869,64.85035129998869,,001,2023-04-24_16h07.02.899,CGTriskyDMtask,2022.2.4,59.968540506700734,
,,,,,,,,,,,,,,,,,,69.92491419998987,69.92491419998987,69.92491419998987,69.92491419998987,69.92491419998987,69.92491419998987,69.92491419998987,71.90624269998807,71.90624269998807,71.90624269998807,None,73.91960749999271,74.93475339999713,74.93475339999713,74.93475339999713,74.93475339999713,74.93475339999713,74.93475339999713,nan,75.949950299997,,,,,,,,,,,
