riskyGain,riskyLoss,alternative,isi,iti,loc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,21.30189210001845,23.302595300017856,return,26.204410000005737,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_14h41.10.280,CGTriskyDMtask,2022.2.4,186.51601153573185,
,,,,,,,,,,,,,,49.533130800002255,51.53440780006349,v,1.2396363000152633,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_14h41.10.280,CGTriskyDMtask,2022.2.4,186.51601153573185,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,52.850282500032336,52.850282500032336,52.850282500032336,52.850282500032336,52.850282500032336,52.850282500032336,52.850282500032336,54.806952200015076,54.806952200015076,54.806952200015076,v,0.7055010000476614,55.536235800012946,57.56505019997712,57.56505019997712,57.56505019997712,57.56505019997712,57.56505019997712,57.56505019997712,0,58.57085410004947,59.59707460005302,,001,2023-04-20_14h41.10.280,CGTriskyDMtask,2022.2.4,186.51601153573185,
,,,,,,,,,,,,,,,,,,59.59707460005302,59.59707460005302,59.59707460005302,59.59707460005302,59.59707460005302,59.59707460005302,59.59707460005302,61.59152790007647,61.59152790007647,61.59152790007647,v,1.4876658000284806,63.11058850004338,64.13732690003235,64.13732690003235,64.13732690003235,64.13732690003235,64.13732690003235,64.13732690003235,53.27,65.1419872000115,,,,,,,,
