riskyGain,riskyLoss,alternative,isi,iti,loc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,vLeft.stopped,nRight.stopped,choice1.stopped,choice1.keys,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,noRespTxt.stopped,ocGamble.stopped,ocSafe.stopped,outcomeText.stopped,hideGamble.stopped,postPracText.started,postPractResp.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,30.51533749999362,32.50986159998865,return,8.280828000002657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_10h47.26.159,CGTriskyDMtask,2022.2.4,59.73697808208706,
,,,,,,,,,,,,,,40.81447759999719,42.79950189999363,v,0.9912490999995498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-24_10h47.26.159,CGTriskyDMtask,2022.2.4,59.73697808208706,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,43.857657999993535,43.857657999993535,43.857657999993535,43.857657999993535,43.857657999993535,43.857657999993535,43.857657999993535,45.80051469999307,45.80051469999307,45.80051469999307,47.80159560000175,47.80159560000175,47.80159560000175,None,47.82225299999118,49.83585219999077,49.83585219999077,49.83585219999077,49.83585219999077,49.83585219999077,49.83585219999077,nan,50.83556819999649,51.841308799994295,,,,,,,,,001,2023-04-24_10h47.26.159,CGTriskyDMtask,2022.2.4,59.73697808208706,
53.27,0,35.16,1,3,1,0,1,1,1,,,,,,,,,51.841308799994295,51.841308799994295,51.841308799994295,51.841308799994295,51.841308799994295,51.841308799994295,51.841308799994295,53.82120849999774,53.82120849999774,53.82120849999774,55.82165949999762,55.82165949999762,55.82165949999762,None,55.83841179999581,56.83904690000054,56.83904690000054,56.83904690000054,56.83904690000054,56.83904690000054,56.83904690000054,nan,57.83921510000073,60.84282729998813,57.83921510000073,57.83921510000073,57.83921510000073,57.83921510000073,57.83921510000073,,,,001,2023-04-24_10h47.26.159,CGTriskyDMtask,2022.2.4,59.73697808208706,
8.27,0,1.15,1,2,2,0,2,2,2,,,,,,,,,60.84282729998813,60.84282729998813,60.84282729998813,60.84282729998813,60.84282729998813,60.84282729998813,60.84282729998813,62.82514409998839,62.82514409998839,62.82514409998839,64.82650809999905,64.82650809999905,64.82650809999905,None,64.84258979999868,65.842934100001,65.842934100001,65.842934100001,65.842934100001,65.842934100001,65.842934100001,nan,66.84332859999267,68.86412230000133,66.84332859999267,66.84332859999267,66.84332859999267,66.84332859999267,66.84332859999267,,,,001,2023-04-24_10h47.26.159,CGTriskyDMtask,2022.2.4,59.73697808208706,
45.88,0,40.41,3,1,1,0,3,3,3,,,,,,,,,68.86412230000133,68.86412230000133,68.86412230000133,68.86412230000133,68.86412230000133,68.86412230000133,68.86412230000133,70.84598829998868,70.84598829998868,70.84598829998868,72.84711779998906,72.84711779998906,72.84711779998906,None,72.86288309999509,75.86451749999833,75.86451749999833,75.86451749999833,75.86451749999833,75.86451749999833,75.86451749999833,nan,76.8646524999931,77.86535989999538,,,,,,,,,001,2023-04-24_10h47.26.159,CGTriskyDMtask,2022.2.4,59.73697808208706,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.86535989999538,77.86535989999538,,,,,,,
