riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,CircleLeft.started,realCircleRight.started,realLineLeft.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVLeft.started,realNRight.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,2,10.55,0.0,6.73,0,,,,,0,2,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,97.49973859999591,2,v,0.6750412000037613,101.49332270000014,101.992734499996,101.992734499996,101.992734499996,101.992734499996,101.992734499996,101.992734499996,6.73,0,103.00765429999592,107.8341838999986,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,17.94,0.0,9.03,0,,,,,0,3,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,107.8341838999986,2,n,0.660398100000748,111.82779370000208,112.32731760000024,112.32731760000024,112.32731760000024,112.32731760000024,112.32731760000024,112.32731760000024,0.0,1,113.34214000000065,117.68649390000064,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,1,16.26,0.0,9.87,0,,,,,0,4,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,117.68649390000064,1,v,0.59354020000319,121.67941579999751,122.17907829999604,122.17907829999604,122.17907829999604,122.17907829999604,122.17907829999604,122.17907829999604,0.0,1,123.19384269999864,128.1037451000011,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,0.0,0.0,10.25,1,,,,,0,5,5,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.1037451000011,128.1037451000011,128.1037451000011,128.1037451000011,128.1037451000011,128.1037451000011,128.1037451000011,128.1037451000011,128.1037451000011,128.1037451000011,2,n,0.5121542000051704,132.0971428999983,132.59679589999723,132.59679589999723,132.59679589999723,132.59679589999723,132.59679589999723,132.59679589999723,0.0,1,133.6113905999955,138.10510929999873,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,10.12,0.0,6.94,0,,,,,0,6,6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.10510929999873,138.10510929999873,138.10510929999873,138.10510929999873,138.10510929999873,138.10510929999873,138.10510929999873,138.10510929999873,138.10510929999873,138.10510929999873,2,v,0.5984019000025,142.09872180000093,142.59819260000222,142.59819260000222,142.59819260000222,142.59819260000222,142.59819260000222,142.59819260000222,6.94,0,143.6130753999969,148.02494889999798,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,1,19.86,0.0,8.07,0,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.02494889999798,148.02494889999798,148.02494889999798,148.02494889999798,148.02494889999798,148.02494889999798,148.02494889999798,148.02494889999798,148.02494889999798,148.02494889999798,1,n,0.6389995000063209,152.01705679999577,152.51661259999673,152.51661259999673,152.51661259999673,152.51661259999673,152.51661259999673,152.51661259999673,8.07,0,153.53145640000002,157.8937758999964,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,1,22.97,0.0,6.51,0,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.8937758999964,157.8937758999964,157.8937758999964,157.8937758999964,157.8937758999964,157.8937758999964,157.8937758999964,157.8937758999964,157.8937758999964,157.8937758999964,1,v,0.6409484000032535,161.88553809999576,162.3851485999985,162.3851485999985,162.3851485999985,162.3851485999985,162.3851485999985,162.3851485999985,22.97,1,163.39985660000093,167.76073460000043,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,11.2,0.0,6.4,0,,,,,0,9,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.76073460000043,167.76073460000043,167.76073460000043,167.76073460000043,167.76073460000043,167.76073460000043,167.76073460000043,167.76073460000043,167.76073460000043,167.76073460000043,2,n,0.34267820000241045,171.7540439000004,172.25352959999873,172.25352959999873,172.25352959999873,172.25352959999873,172.25352959999873,172.25352959999873,0.0,1,173.2684059000021,178.42761410000094,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,13.94,0.0,5.03,0,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.42761410000094,178.42761410000094,178.42761410000094,178.42761410000094,178.42761410000094,178.42761410000094,178.42761410000094,178.42761410000094,178.42761410000094,178.42761410000094,2,v,0.5715468000053079,182.4212688999978,182.9206916999974,182.9206916999974,182.9206916999974,182.9206916999974,182.9206916999974,182.9206916999974,5.03,0,183.93561000000045,188.8787220000013,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,1,15.96,0.0,10.02,0,,,,,0,11,11,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.8787220000013,188.8787220000013,188.8787220000013,188.8787220000013,188.8787220000013,188.8787220000013,188.8787220000013,188.8787220000013,188.8787220000013,188.8787220000013,1,v,0.59326850000798,192.87222889999975,193.3718779999981,193.3718779999981,193.3718779999981,193.3718779999981,193.3718779999981,193.3718779999981,0.0,1,194.38667839999835,199.29625529999612,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
