riskyGain,riskyLoss,alternative,isi,iti,loc,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,pracNoRespText.stopped,pracSafeOC.stopped,outcome,itiPracFix.started,itiPracFix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,"[1, 1, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1]","[1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",17.031706200010376,19.02354390002438,return,0.05113190002157353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h48.18.527,cgeRDMtask,2022.2.1,60.10655690376623,
,,,,,,,,,,,,,,,,19.10657770000398,21.103656999999657,v,0.34272439999040216,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h48.18.527,cgeRDMtask,2022.2.1,60.10655690376623,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,,,21.48369900000398,21.48369900000398,21.48369900000398,21.48369900000398,21.48369900000398,21.48369900000398,21.48369900000398,21.48369900000398,21.48369900000398,21.48369900000398,n,1.970407199987676,25.46368670000811,27.47732940001879,27.47732940001879,27.47732940001879,27.47732940001879,27.47732940001879,27.47732940001879,28.49242240001331,28.49242240001331,9.45,32.486404700001,35.51533120000386,999,2023-09-29_02h48.18.527,cgeRDMtask,2022.2.1,60.10655690376623,
,,,,,,,,,,,,,,,,,,,,35.51533120000386,35.51533120000386,35.51533120000386,35.51533120000386,35.51533120000386,35.51533120000386,35.51533120000386,35.51533120000386,35.51533120000386,35.51533120000386,n,3.539847500011092,39.509084600023925,,,,,,,,,,,,,,,,,
