riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,isiTextReal.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,8.759438599925488,10.756869999691844,return,1.0073839002288878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_15h05.25.498,CGTriskyDMtask,2022.2.4,60.10901380977811,
,,,,,,,,,,,,,,,,,,,,,,11.788048499729484,13.785482999868691,n,3.060291100293398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_15h05.25.498,CGTriskyDMtask,2022.2.4,60.10901380977811,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,16.89205629983917,16.89205629983917,16.89205629983917,16.89205629983917,16.89205629983917,16.89205629983917,16.89205629983917,18.861618399620056,18.861618399620056,18.861618399620056,v,1.674201900139451,20.558200899977237,22.57696699956432,22.57696699956432,22.57696699956432,22.57696699956432,22.57696699956432,22.57696699956432,0,23.587063799612224,24.63083089981228,,,,,,,,,,,,,,,1,,,,,,,,,,,,,001,2023-01-10_15h05.25.498,CGTriskyDMtask,2022.2.4,60.10901380977811,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,24.63083089981228,24.63083089981228,24.63083089981228,24.63083089981228,24.63083089981228,24.63083089981228,24.63083089981228,26.60034709982574,26.60034709982574,26.60034709982574,v,0.7814660002477467,27.398066399618983,28.413878299761564,28.413878299761564,28.413878299761564,28.413878299761564,28.413878299761564,28.413878299761564,53.27,29.42828129976988,32.440171299967915,,,,,,,,,,,,,,,1,,,,,,,,,,,,,001,2023-01-10_15h05.25.498,CGTriskyDMtask,2022.2.4,60.10901380977811,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.440171299967915,32.440171299967915,n,27.39631719980389,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_15h05.25.498,CGTriskyDMtask,2022.2.4,60.10901380977811,
,,,,,2,20.03,0.0,1.99,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.87198709975928,59.87198709975928,59.87198709975928,59.87198709975928,59.87198709975928,59.87198709975928,59.87198709975928,61.863661099690944,61.863661099690944,61.863661099690944,2,None,63.876109699718654,64.37544139986858,64.37544139986858,64.37544139986858,64.37544139986858,64.37544139986858,nan,nan,65.37422079965472,,,001,2023-01-10_15h05.25.498,CGTriskyDMtask,2022.2.4,60.10901380977811,
,,,,,2,28.21,0.0,3.89,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.37344859959558,66.37344859959558,66.37344859959558,66.37344859959558,66.37344859959558,66.37344859959558,66.37344859959558,68.35405399976298,68.35405399976298,68.35405399976298,2,None,70.36660609999672,70.86613249965012,70.86613249965012,70.86613249965012,70.86613249965012,70.86613249965012,nan,nan,71.88091449998319,70.86613249965012,,001,2023-01-10_15h05.25.498,CGTriskyDMtask,2022.2.4,60.10901380977811,
,,,,,2,17.73,0.0,3.13,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.88028959976509,72.88028959976509,72.88028959976509,72.88028959976509,72.88028959976509,72.88028959976509,72.88028959976509,74.8609624998644,74.8609624998644,74.8609624998644,2,None,76.87348829954863,77.37293459987268,77.37293459987268,77.37293459987268,77.37293459987268,77.37293459987268,nan,nan,78.37127969972789,,,001,2023-01-10_15h05.25.498,CGTriskyDMtask,2022.2.4,60.10901380977811,
