riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,noRespTxt.stopped,ocGamble.stopped,ocSafe.stopped,outcomeText.stopped,hideGamble.stopped,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,breaktxt.started,stopBreak.started,stopBreak.keys,stopBreak.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,1,13.45,0.0,5.27,0,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.61679470003583,87.61679470003583,87.61679470003583,87.61679470003583,87.61679470003583,87.61679470003583,87.61679470003583,89.56964080000762,89.56964080000762,89.56964080000762,1,None,,91.58211720001418,,92.08180020004511,92.08180020004511,92.08180020004511,92.08180020004511,92.08180020004511,nan,nan,93.09659349999856,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,17.59,0.0,9.2,0,,,,,,,0,4,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.11154680000618,94.11154680000618,94.11154680000618,94.11154680000618,94.11154680000618,94.11154680000618,94.11154680000618,96.07671729999129,96.07671729999129,96.07671729999129,2,None,,98.08902399998624,,98.58862759999465,98.58862759999465,98.58862759999465,98.58862759999465,98.58862759999465,nan,nan,99.58683679997921,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,14.72,0.0,4.64,0,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5859701000154,100.5859701000154,100.5859701000154,100.5859701000154,100.5859701000154,100.5859701000154,100.5859701000154,102.56630890001543,102.56630890001543,102.56630890001543,1,None,,104.59589039999992,,105.0953492000699,105.0953492000699,105.0953492000699,105.0953492000699,105.0953492000699,nan,nan,106.09363720007241,104.58041529997718,104.58041529997718,104.58041529997718,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,10.24,0.0,6.88,0,,,,,,,0,6,6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.12164919998031,107.12164919998031,107.12164919998031,107.12164919998031,107.12164919998031,107.12164919998031,107.12164919998031,109.07358530000784,109.07358530000784,109.07358530000784,1,None,,111.08610680000857,,111.585640000063,111.585640000063,111.585640000063,111.585640000063,111.585640000063,nan,nan,112.58409829996526,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,10.39,0.0,6.81,0,,,,,,,0,7,7,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.58774780004751,113.58774780004751,113.58774780004751,113.58774780004751,113.58774780004751,113.58774780004751,113.58774780004751,115.5637498999713,115.5637498999713,115.5637498999713,1,None,,117.59293949999847,,118.09242070000619,118.09242070000619,118.09242070000619,118.09242070000619,118.09242070000619,nan,nan,119.09082040004432,117.5774125000462,117.5774125000462,117.5774125000462,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,0.0,0.0,10.25,1,,,,,,,0,8,8,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.11593490000814,120.11593490000814,120.11593490000814,120.11593490000814,120.11593490000814,120.11593490000814,120.11593490000814,122.07060520001687,122.07060520001687,122.07060520001687,1,None,,124.08284819999244,,124.5826364000095,124.5826364000095,124.5826364000095,124.5826364000095,124.5826364000095,nan,nan,125.59722590004094,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,13.1,7.73,4.68,1,,,,,,,0,9,9,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.61901220004074,126.61901220004074,126.61901220004074,126.61901220004074,126.61901220004074,126.61901220004074,126.61901220004074,128.5775389999617,128.5775389999617,128.5775389999617,1,None,,130.59004809998441,,131.08936830004677,131.08936830004677,131.08936830004677,131.08936830004677,131.08936830004677,nan,nan,132.08783470001072,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,17.73,0.0,3.13,0,,,,,,,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.1094463999616,133.1094463999616,133.1094463999616,133.1094463999616,133.1094463999616,133.1094463999616,133.1094463999616,135.0677386999596,135.0677386999596,135.0677386999596,2,None,,137.0803635000484,137.5796735000331,137.5796735000331,137.5796735000331,137.5796735000331,137.5796735000331,137.5796735000331,nan,nan,138.5946363999974,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,15.96,0.0,10.02,0,,,,,,,0,11,11,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.6115138999885,139.6115138999885,139.6115138999885,139.6115138999885,139.6115138999885,139.6115138999885,139.6115138999885,141.57443100004457,141.57443100004457,141.57443100004457,2,None,,143.58706689998507,,144.08978470007423,144.08978470007423,144.08978470007423,144.08978470007423,144.08978470007423,nan,nan,145.08474930003285,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,14.26,0.0,0.0,1,,,,,,,0,12,12,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.1008584999945,146.1008584999945,146.1008584999945,146.1008584999945,146.1008584999945,146.1008584999945,146.1008584999945,148.0647428999655,148.0647428999655,148.0647428999655,1,None,,150.09390660002828,,150.59341189998668,150.59341189998668,150.59341189998668,150.59341189998668,150.59341189998668,nan,nan,151.59171830001287,150.07841680001002,150.07841680001002,150.07841680001002,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
