riskyGain,riskyLoss,alternative,isi,iti,loc,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,"[1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1]",16.99799780000467,19.001313100015977,return,0.49776440000277944,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_01h54.22.134,cgeRDMtask,2022.2.1,60.08640425321024,
,,,,,,,,,,,,,,,,19.517116000002716,21.514167699991958,v,2.754972800001269,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_01h54.22.134,cgeRDMtask,2022.2.1,60.08640425321024,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,,,24.306611800013343,24.306611800013343,24.306611800013343,24.306611800013343,24.306611800013343,24.306611800013343,24.306611800013343,24.306611800013343,24.306611800013343,24.306611800013343,v,0.8109617999871261,28.287127699994016,30.301058500015642,30.301058500015642,30.301058500015642,30.301058500015642,30.301058500015642,30.301058500015642,18.23,31.316026599990437,35.50979810001445,999,2023-09-29_01h54.22.134,cgeRDMtask,2022.2.1,60.08640425321024,
53.27,0,35.16,1,3,1,0,1,1,1,,,,,,,,,,,35.50979810001445,35.50979810001445,35.50979810001445,35.50979810001445,35.50979810001445,35.50979810001445,35.50979810001445,35.50979810001445,35.50979810001445,35.50979810001445,v,1.8821307999896817,39.50368069999968,40.51904430001741,40.51904430001741,40.51904430001741,40.51904430001741,40.51904430001741,40.51904430001741,0,41.53385880001588,46.65970990000642,999,2023-09-29_01h54.22.134,cgeRDMtask,2022.2.1,60.08640425321024,
8.27,0,1.15,1,2,2,0,2,2,2,,,,,,,,,,,46.65970990000642,46.65970990000642,46.65970990000642,46.65970990000642,46.65970990000642,46.65970990000642,46.65970990000642,46.65970990000642,46.65970990000642,46.65970990000642,n,1.6248135000059847,50.65342149999924,51.6688342000125,51.6688342000125,51.6688342000125,51.6688342000125,51.6688342000125,51.6688342000125,8.27,52.68377440000768,57.06072330000461,999,2023-09-29_01h54.22.134,cgeRDMtask,2022.2.1,60.08640425321024,
,,,,,,,,,,,,,,,,,,,,57.06072330000461,57.06072330000461,57.06072330000461,57.06072330000461,57.06072330000461,57.06072330000461,57.06072330000461,57.06072330000461,57.06072330000461,57.06072330000461,,,,,,,,,,,,,,,,,,
