riskyGain,riskyLoss,alternative,isi,iti,loc,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,"[1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1.5]","[1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5]",17.34680230001686,19.33623409998836,return,1.9051719999988563,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_14h00.50.363,cgeRDMtask,2022.2.1,60.109049835855366,
,,,,,,,,,,,,,,,,21.266468399990117,23.263549099996453,v,0.03246389998821542,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-28_14h00.50.363,cgeRDMtask,2022.2.1,60.109049835855366,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,,,23.3272901000164,23.3272901000164,23.3272901000164,23.3272901000164,23.3272901000164,23.3272901000164,23.3272901000164,23.3272901000164,23.3272901000164,23.3272901000164,v,2.420100999996066,27.307308299990837,29.32133539998904,29.32133539998904,29.32133539998904,29.32133539998904,29.32133539998904,29.32133539998904,18.23,30.336078499996802,32.91579649999039,999,2023-09-28_14h00.50.363,cgeRDMtask,2022.2.1,60.109049835855366,
,,,,,,,,,,,,,,,,,,,,32.91579649999039,32.91579649999039,32.91579649999039,32.91579649999039,32.91579649999039,32.91579649999039,32.91579649999039,32.91579649999039,32.91579649999039,32.91579649999039,v,1.6123624999891035,36.909512599988375,37.925037300010445,37.925037300010445,37.925037300010445,37.925037300010445,37.925037300010445,37.925037300010445,53.27,38.939781799999764,,,,,,,
