riskyGain,riskyLoss,alternative,isi,iti,loc,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,"[1, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5]","[1, 1.5, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1, 1]",18.43658029998187,20.437988099991344,return,0.4417746000108309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h07.33.980,cgeRDMtask,2022.2.1,60.11624076294965,
,,,,,,,,,,,,,,,,20.90387079998618,22.900950899987947,v,0.24031719999038614,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-29_02h07.33.980,cgeRDMtask,2022.2.1,60.11624076294965,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,,,23.17974839999806,23.17974839999806,23.17974839999806,23.17974839999806,23.17974839999806,23.17974839999806,23.17974839999806,23.17974839999806,23.17974839999806,23.17974839999806,v,1.3849521999945864,27.1610058999795,29.17565140000079,29.17565140000079,29.17565140000079,29.17565140000079,29.17565140000079,29.17565140000079,18.23,30.18977259998792,33.8178515000036,,,999,2023-09-29_02h07.33.980,cgeRDMtask,2022.2.1,60.11624076294965,
53.27,0,35.16,1,3,1,0,1,1,1,,,,,,,,,,,33.8178515000036,33.8178515000036,33.8178515000036,33.8178515000036,33.8178515000036,33.8178515000036,33.8178515000036,33.8178515000036,33.8178515000036,33.8178515000036,v,1.6095799999893643,37.81151859997772,38.82716059999075,38.82716059999075,38.82716059999075,38.82716059999075,38.82716059999075,38.82716059999075,53.27,39.841818199987756,45.23403910000343,,,999,2023-09-29_02h07.33.980,cgeRDMtask,2022.2.1,60.11624076294965,
8.27,0,1.15,1,2,2,0,2,2,2,,,,,,,,,,,45.23403910000343,45.23403910000343,45.23403910000343,45.23403910000343,45.23403910000343,45.23403910000343,45.23403910000343,45.23403910000343,45.23403910000343,45.23403910000343,v,1.401176100014709,49.22764019999886,50.24316309997812,50.24316309997812,50.24316309997812,50.24316309997812,50.24316309997812,50.24316309997812,1.15,51.25799289997667,55.86820090000401,,,999,2023-09-29_02h07.33.980,cgeRDMtask,2022.2.1,60.11624076294965,
45.88,0,40.41,3,1,1,0,3,3,3,,,,,,,,,,,55.86820090000401,55.86820090000401,55.86820090000401,55.86820090000401,55.86820090000401,55.86820090000401,55.86820090000401,55.86820090000401,55.86820090000401,55.86820090000401,v,1.1373556999897119,59.8616967999842,62.87415889999829,62.87415889999829,62.87415889999829,62.87415889999829,62.87415889999829,62.87415889999829,45.88,63.88902410000446,67.76652619999368,,,999,2023-09-29_02h07.33.980,cgeRDMtask,2022.2.1,60.11624076294965,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.76652619999368,67.76652619999368,,,,,,
