riskyGain,riskyLoss,alternative,isi,iti,loc,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,riskyoption1,riskyoption2,safeoption,ischecktrial,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,CircleLeft.started,realCircleRight.started,realLineLeft.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVLeft.started,realNRight.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,20.917486900001677,22.923228600000584,return,0.9715627999976277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_15h53.39.235,CGTriskyDMtask,2022.2.1,59.996208238704895,
,,,,,,,,,,,,,,,,,,,,,,23.921673600001668,25.91873620000115,v,0.22279450000132783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_15h53.39.235,CGTriskyDMtask,2022.2.1,59.996208238704895,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,,,,,,,,,26.205502900000283,26.205502900000283,26.205502900000283,26.205502900000283,26.205502900000283,26.205502900000283,26.205502900000283,26.205502900000283,26.205502900000283,26.205502900000283,v,0.9930628000001889,30.16235450000022,32.179702699999325,32.179702699999325,32.179702699999325,32.179702699999325,32.179702699999325,32.179702699999325,0,33.19103919999907,37.21767959999852,,,,,,,,,,,,,,,1,,,,,999,2023-09-26_15h53.39.235,CGTriskyDMtask,2022.2.1,59.996208238704895,
53.27,0,35.16,1,3,1,0,1,1,1,,,,,,,,,,,,,,,,,37.21767959999852,37.21767959999852,37.21767959999852,37.21767959999852,37.21767959999852,37.21767959999852,37.21767959999852,37.21767959999852,37.21767959999852,37.21767959999852,n,2.2043188999996346,41.19567630000165,42.221070799998415,42.221070799998415,42.221070799998415,42.221070799998415,42.221070799998415,42.221070799998415,35.16,43.22596010000052,48.03948909999963,,,,,,,,,,,,,,,1,,,,,999,2023-09-26_15h53.39.235,CGTriskyDMtask,2022.2.1,59.996208238704895,
8.27,0,1.15,1,2,2,0,2,2,2,,,,,,,,,,,,,,,,,48.03948909999963,48.03948909999963,48.03948909999963,48.03948909999963,48.03948909999963,48.03948909999963,48.03948909999963,48.03948909999963,48.03948909999963,48.03948909999963,None,,52.0327795000012,53.05852790000063,53.05852790000063,53.05852790000063,53.05852790000063,53.05852790000063,53.05852790000063,nan,54.05962310000177,57.87063539999872,,,,,,,,,,,,,,,2,,,,,999,2023-09-26_15h53.39.235,CGTriskyDMtask,2022.2.1,59.996208238704895,
45.88,0,40.41,3,1,1,0,3,3,3,,,,,,,,,,,,,,,,,57.87063539999872,57.87063539999872,57.87063539999872,57.87063539999872,57.87063539999872,57.87063539999872,57.87063539999872,57.87063539999872,57.87063539999872,57.87063539999872,v,0.8954267999979493,61.86452740000095,64.88187249999828,64.88187249999828,64.88187249999828,64.88187249999828,64.88187249999828,64.88187249999828,45.88,65.89181530000133,70.02700339999865,,,,,,,,,,,,,,,1,,,,,999,2023-09-26_15h53.39.235,CGTriskyDMtask,2022.2.1,59.996208238704895,
21.56,0,11.96,1,1,2,0,4,4,4,,,,,,,,,,,,,,,,,70.02700339999865,70.02700339999865,70.02700339999865,70.02700339999865,70.02700339999865,70.02700339999865,70.02700339999865,70.02700339999865,70.02700339999865,70.02700339999865,n,3.4346556999989843,73.99626379999972,75.01687980000133,75.01687980000133,75.01687980000133,75.01687980000133,75.01687980000133,75.01687980000133,21.56,76.02640790000078,77.59087880000152,,,,,,,,,,,,,,,2,,,,,999,2023-09-26_15h53.39.235,CGTriskyDMtask,2022.2.1,59.996208238704895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.59087880000152,77.59087880000152,v,3.119654599999194,,,,,,,,,,,,,,,,999,2023-09-26_15h53.39.235,CGTriskyDMtask,2022.2.1,59.996208238704895,
,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.77892900000006,80.77892900000006,80.77892900000006,80.77892900000006,80.77892900000006,80.77892900000006,80.77892900000006,80.77892900000006,80.77892900000006,80.77892900000006,2,v,1.0352667999977712,84.72980489999827,,,,,,,
