practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,riskyGain,riskyLoss,alternative,isi,iti,loc,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracTrialNum.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,"[3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3, 3]","[3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3]",19.55154969999967,21.551658999998835,return,0.1617221000014979,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_16h15.14.574,cgeRDMtask,2022.2.4,60.08719854262186,
,,,,,,,,,,,,,,,,21.734489099999337,23.731547899998986,v,0.26918509999995877,,,,,,,,,,,,,,,,,,,,999,2023-09-30_16h15.14.574,cgeRDMtask,2022.2.4,60.08719854262186,
,,,,,,,,,,,,,,,,,,,,24.04755540000042,24.04755540000042,24.04755540000042,24.04755540000042,24.04755540000042,24.04755540000042,24.04755540000042,24.04755540000042,24.04755540000042,24.04755540000042,24.04755540000042,None,28.041520999999193,29.056694699998843,29.056694699998843,29.056694699998843,29.056694699998843,29.056694699998843,29.056694699998843,,,,,,
