riskyGain,riskyLoss,alternative,isi,iti,loc,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,21.662665100000595,23.669132800001535,return,3.2828069999995932,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_14h51.03.741,CGTriskyDMtask,2022.2.1,60.06135868365234,
,,,,,,,,,,,,,,26.980287100002897,28.977244300000166,v,1.3105106000002706,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_14h51.03.741,CGTriskyDMtask,2022.2.1,60.06135868365234,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,30.40439730000071,30.40439730000071,30.40439730000071,30.40439730000071,30.40439730000071,30.40439730000071,30.40439730000071,30.40439730000071,30.40439730000071,30.40439730000071,v,2.619360400000005,34.30267210000238,36.32507690000057,36.32507690000057,36.32507690000057,36.32507690000057,36.32507690000057,36.32507690000057,18.23,37.33151330000328,39.72915579999972,999,2023-09-26_14h51.03.741,CGTriskyDMtask,2022.2.1,60.06135868365234,
,,,,,,,,,,,,,,,,,,39.72915579999972,39.72915579999972,39.72915579999972,39.72915579999972,39.72915579999972,39.72915579999972,39.72915579999972,39.72915579999972,39.72915579999972,39.72915579999972,None,,43.71234890000051,,,,,,,,,,,,,,,
