practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,riskyGain,riskyLoss,alternative,isi,iti,loc,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracTrialNum.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,"[3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3.5]","[3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5]",14.30159839999942,16.306426900000588,return,0.20654430000104185,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_16h12.03.647,cgeRDMtask,2022.2.4,60.084851827710374,
,,,,,,,,,,,,,,,,16.53928839999935,18.536551999999574,v,0.4557663000014145,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_16h12.03.647,cgeRDMtask,2022.2.4,60.084851827710374,
,,,,,,,,,,,,,,,,,,,,19.030266100000517,19.030266100000517,19.030266100000517,19.030266100000517,19.030266100000517,19.030266100000517,19.030266100000517,19.030266100000517,19.030266100000517,19.030266100000517,19.030266100000517,n,1.3374090000015713,20.406458100000236,21.415438399999402,21.415438399999402,21.415438399999402,21.415438399999402,21.415438399999402,21.415438399999402,9.45,22.430382599999575,,,,,,
