riskyGain,riskyLoss,alternative,isi,iti,loc,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,"[1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5]","[1.5, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1, 1, 1, 1.5, 1, 1, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1]",68.916318399999,70.91820790000202,return,0.3510133000090718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_23h51.41.527,cgeRDMtask,2022.2.1,60.11190432205538,
,,,,,,,,,,,,,,,,71.30071370000223,73.29770399999688,v,0.9225688000078662,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_23h51.41.527,cgeRDMtask,2022.2.1,60.11190432205538,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,,,74.26000699999713,74.26000699999713,74.26000699999713,74.26000699999713,74.26000699999713,74.26000699999713,74.26000699999713,74.26000699999713,74.26000699999713,74.26000699999713,n,1.4245095000005676,78.2400925999973,80.25404469999921,80.25404469999921,80.25404469999921,80.25404469999921,80.25404469999921,80.25404469999921,9.45,81.26886830000149,84.84733899999992,,,999,2023-09-26_23h51.41.527,cgeRDMtask,2022.2.1,60.11190432205538,
53.27,0,35.16,1,3,1,0,1,1,1,,,,,,,,,,,84.84733899999992,84.84733899999992,84.84733899999992,84.84733899999992,84.84733899999992,84.84733899999992,84.84733899999992,84.84733899999992,84.84733899999992,84.84733899999992,v,0.5410328000070876,88.84079380000185,89.85628200000065,89.85628200000065,89.85628200000065,89.85628200000065,89.85628200000065,89.85628200000065,0,90.87105439999868,97.34523479999916,,,999,2023-09-26_23h51.41.527,cgeRDMtask,2022.2.1,60.11190432205538,
8.27,0,1.15,1,2,2,0,2,2,2,,,,,,,,,,,97.34523479999916,97.34523479999916,97.34523479999916,97.34523479999916,97.34523479999916,97.34523479999916,97.34523479999916,97.34523479999916,97.34523479999916,97.34523479999916,None,,101.35524079999595,102.37042980000115,102.37042980000115,102.37042980000115,102.37042980000115,102.37042980000115,102.37042980000115,nan,103.38551629999711,108.86210109999956,,,999,2023-09-26_23h51.41.527,cgeRDMtask,2022.2.1,60.11190432205538,
45.88,0,40.41,3,1,1,0,3,3,3,,,,,,,,,,,108.86210109999956,108.86210109999956,108.86210109999956,108.86210109999956,108.86210109999956,108.86210109999956,108.86210109999956,108.86210109999956,108.86210109999956,108.86210109999956,None,,112.85487299999659,115.86874199999875,115.86874199999875,115.86874199999875,115.86874199999875,115.86874199999875,115.86874199999875,nan,116.88211980000051,121.3559716000018,,,999,2023-09-26_23h51.41.527,cgeRDMtask,2022.2.1,60.11190432205538,
21.56,0,11.96,1,1,2,0,4,4,4,,,,,,,,,,,121.3559716000018,121.3559716000018,121.3559716000018,121.3559716000018,121.3559716000018,121.3559716000018,121.3559716000018,121.3559716000018,121.3559716000018,121.3559716000018,None,,125.35260739999649,126.36793919999764,126.36793919999764,126.36793919999764,126.36793919999764,126.36793919999764,126.36793919999764,nan,127.38285429999814,131.84319890000188,,,999,2023-09-26_23h51.41.527,cgeRDMtask,2022.2.1,60.11190432205538,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.84319890000188,131.84319890000188,,,,,,
