riskyGain,riskyLoss,alternative,isi,iti,loc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,riskyoption1,riskyoption2,safeoption,ischecktrial,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,17.983331099967472,19.979137400048785,return,31.043896100018173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_22h43.31.692,CGTriskyDMtask,2022.2.4,188.06714000731128,
,,,,,,,,,,,,,,,,,,,,,,51.054664400056936,53.05725529999472,n,0.5121249000076205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-19_22h43.31.692,CGTriskyDMtask,2022.2.4,188.06714000731128,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,,,,,,,,,53.61142430000473,53.61142430000473,53.61142430000473,53.61142430000473,53.61142430000473,53.61142430000473,53.61142430000473,55.59460810001474,55.59460810001474,55.59460810001474,None,57.59125019994099,59.60864059999585,59.60864059999585,59.60864059999585,59.60864059999585,59.60864059999585,59.60864059999585,nan,60.626106600044295,61.6499957999913,,,,,,,,,,,,,,,,001,2023-04-19_22h43.31.692,CGTriskyDMtask,2022.2.4,188.06714000731128,
53.27,0,35.16,1,3,1,0,1,1,1,,,,,,,,,,,,,,,,,61.6499957999913,61.6499957999913,61.6499957999913,61.6499957999913,61.6499957999913,61.6499957999913,61.6499957999913,63.64427389996126,63.64427389996126,63.64427389996126,None,65.64545039995573,66.66268690000288,66.66268690000288,66.66268690000288,66.66268690000288,66.66268690000288,66.66268690000288,nan,67.68025179998949,70.69808480003849,,,,,,,,,,,,,,,,001,2023-04-19_22h43.31.692,CGTriskyDMtask,2022.2.4,188.06714000731128,
8.27,0,1.15,1,2,2,0,2,2,2,,,,,,,,,,,,,,,,,70.69808480003849,70.69808480003849,70.69808480003849,70.69808480003849,70.69808480003849,70.69808480003849,70.69808480003849,72.69861439999659,72.69861439999659,72.69861439999659,None,74.7175820999546,75.73367640003562,75.73367640003562,75.73367640003562,75.73367640003562,75.73367640003562,75.73367640003562,nan,76.73486600001343,78.7584257000126,,,,,,,,,,,,,,,,001,2023-04-19_22h43.31.692,CGTriskyDMtask,2022.2.4,188.06714000731128,
45.88,0,40.41,3,1,1,0,3,3,3,,,,,,,,,,,,,,,,,78.7584257000126,78.7584257000126,78.7584257000126,78.7584257000126,78.7584257000126,78.7584257000126,78.7584257000126,80.75312470004428,80.75312470004428,80.75312470004428,None,82.7543346999446,85.77183830004651,85.77183830004651,85.77183830004651,85.77183830004651,85.77183830004651,85.77183830004651,nan,86.77322980004828,87.78992939996533,,,,,,,,,,,,,,,,001,2023-04-19_22h43.31.692,CGTriskyDMtask,2022.2.4,188.06714000731128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.78992939996533,87.78992939996533,n,2.158603399991989,,,,,,,,,,,,001,2023-04-19_22h43.31.692,CGTriskyDMtask,2022.2.4,188.06714000731128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.98972800001502,89.98972800001502,89.98972800001502,89.98972800001502,89.98972800001502,89.98972800001502,89.98972800001502,91.97568519995548,91.97568519995548,91.97568519995548,,,,,,,
