riskyGain,riskyLoss,alternative,isi,iti,loc,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,"[1, 1.5, 1, 1, 1, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1, 1.5]","[1.5, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1.5, 1, 1.5, 1, 1, 1, 1, 1, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1, 1.5, 1, 1, 1, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1.5, 1, 1, 1, 1, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 1, 1, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1, 1, 1.5]",17.885611300000164,19.88019809999969,return,1.6442687999951886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_23h59.52.671,cgeRDMtask,2022.2.1,60.0931925233831,
,,,,,,,,,,,,,,,,21.544182000005094,23.541124900002615,v,0.9431808999943314,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-26_23h59.52.671,cgeRDMtask,2022.2.1,60.0931925233831,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,,,24.518929600002593,24.518929600002593,24.518929600002593,24.518929600002593,24.518929600002593,24.518929600002593,24.518929600002593,24.518929600002593,24.518929600002593,24.518929600002593,n,1.8616036999956123,28.500224700001127,30.514106000002357,30.514106000002357,30.514106000002357,30.514106000002357,30.514106000002357,30.514106000002357,9.45,31.529050900004222,34.67472780000389,,,999,2023-09-26_23h59.52.671,cgeRDMtask,2022.2.1,60.0931925233831,
53.27,0,35.16,1,3,1,0,1,1,1,,,,,,,,,,,34.67472780000389,34.67472780000389,34.67472780000389,34.67472780000389,34.67472780000389,34.67472780000389,34.67472780000389,34.67472780000389,34.67472780000389,34.67472780000389,v,0.704897899995558,38.66872929999954,39.683771900003194,39.683771900003194,39.683771900003194,39.683771900003194,39.683771900003194,39.683771900003194,53.27,40.69849420000537,47.006142800004454,,,999,2023-09-26_23h59.52.671,cgeRDMtask,2022.2.1,60.0931925233831,
8.27,0,1.15,1,2,2,0,2,2,2,,,,,,,,,,,47.006142800004454,47.006142800004454,47.006142800004454,47.006142800004454,47.006142800004454,47.006142800004454,47.006142800004454,47.006142800004454,47.006142800004454,47.006142800004454,n,1.6143995999882463,50.999631300001056,52.01513740000519,52.01513740000519,52.01513740000519,52.01513740000519,52.01513740000519,52.01513740000519,8.27,53.029970200004755,57.42377950000082,,,999,2023-09-26_23h59.52.671,cgeRDMtask,2022.2.1,60.0931925233831,
45.88,0,40.41,3,1,1,0,3,3,3,,,,,,,,,,,57.42377950000082,57.42377950000082,57.42377950000082,57.42377950000082,57.42377950000082,57.42377950000082,57.42377950000082,57.42377950000082,57.42377950000082,57.42377950000082,v,1.4199663999970653,61.417225600001984,64.42971290000423,64.42971290000423,64.42971290000423,64.42971290000423,64.42971290000423,64.42971290000423,0,65.44449820000591,69.03959100000066,,,999,2023-09-26_23h59.52.671,cgeRDMtask,2022.2.1,60.0931925233831,
21.56,0,11.96,1,1,2,0,4,4,4,,,,,,,,,,,69.03959100000066,69.03959100000066,69.03959100000066,69.03959100000066,69.03959100000066,69.03959100000066,69.03959100000066,69.03959100000066,69.03959100000066,69.03959100000066,n,1.5800251999899046,73.03309219999937,74.04855440000392,74.04855440000392,74.04855440000392,74.04855440000392,74.04855440000392,74.04855440000392,0,75.06333770000492,78.49163000000408,,,999,2023-09-26_23h59.52.671,cgeRDMtask,2022.2.1,60.0931925233831,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.49163000000408,78.49163000000408,,,,,,
