riskyGain,riskyLoss,alternative,isi,iti,loc,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,riskyoption1,riskyoption2,safeoption,ischecktrial,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracTriNum.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3]","[3, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3, 3, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3]",14.079540000002453,16.077004300001136,return,0.27468880000014906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_16h41.02.430,cgeRDMtask,2022.2.4,60.05930255505521,
,,,,,,,,,,,,,,,,,,,,,,,,16.37634010000329,18.373846200000116,v,0.0419344000001729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_16h41.02.430,cgeRDMtask,2022.2.4,60.05930255505521,
18.23,0,9.45,1,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,18.536845400001766,18.536845400001766,18.536845400001766,18.536845400001766,18.536845400001766,18.536845400001766,18.536845400001766,18.536845400001766,18.536845400001766,18.536845400001766,18.536845400001766,v,1.9585480999994616,20.520269200002076,21.5354991000022,21.5354991000022,21.5354991000022,21.5354991000022,21.5354991000022,21.5354991000022,0,22.550816599999962,25.56371140000192,,,,,,,,,,,,,,,999,2023-09-30_16h41.02.430,cgeRDMtask,2022.2.4,60.05930255505521,
53.27,0,35.16,1,3.5,1,0,1,1,1,,,,,,,,,,,,,,,,,,,25.56371140000192,25.56371140000192,25.56371140000192,25.56371140000192,25.56371140000192,25.56371140000192,25.56371140000192,25.56371140000192,25.56371140000192,25.56371140000192,25.56371140000192,n,2.0362435999959416,27.626205700002174,28.64898760000142,28.64898760000142,28.64898760000142,28.64898760000142,28.64898760000142,28.64898760000142,35.16,29.65665810000064,33.19323010000153,,,,,,,,,,,,,,,999,2023-09-30_16h41.02.430,cgeRDMtask,2022.2.4,60.05930255505521,
8.27,0,1.15,1,3,2,0,2,2,2,,,,,,,,,,,,,,,,,,,33.19323010000153,33.19323010000153,33.19323010000153,33.19323010000153,33.19323010000153,33.19323010000153,33.19323010000153,33.19323010000153,33.19323010000153,33.19323010000153,33.19323010000153,v,0.575124599996343,33.800145600002,34.82141279999996,34.82141279999996,34.82141279999996,34.82141279999996,34.82141279999996,34.82141279999996,1.15,35.83059620000131,38.842951900001935,,,,,,,,,,,,,,,999,2023-09-30_16h41.02.430,cgeRDMtask,2022.2.4,60.05930255505521,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.842951900001935,38.842951900001935,v,2.9088315999979386,,,,,,,,,,,999,2023-09-30_16h41.02.430,cgeRDMtask,2022.2.4,60.05930255505521,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.824709900000016,41.824709900000016,41.824709900000016,41.824709900000016,41.824709900000016,41.824709900000016,41.824709900000016,41.824709900000016,41.824709900000016,41.824709900000016,,,,,,
