riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,20.606855200021528,22.606197700020857,return,25.00607909995597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_14h38.00.729,CGTriskyDMtask,2022.2.4,161.59631313492338,
,,,,,,,,,,,,,,,,,,,,,,47.632194800069556,49.63406379998196,v,1.8523338999366388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_14h38.00.729,CGTriskyDMtask,2022.2.4,161.59631313492338,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,51.56894720008131,51.56894720008131,51.56894720008131,51.56894720008131,51.56894720008131,51.56894720008131,51.56894720008131,53.523073600023054,53.523073600023054,53.523073600023054,v,0.64865860005375,54.20176690001972,56.23093760001939,56.23093760001939,56.23093760001939,56.23093760001939,56.23093760001939,56.23093760001939,18.23,57.237694400013424,58.28728739998769,,,,,,,,,,,,,,,1,,,,,,,,,,,,,001,2023-04-20_14h38.00.729,CGTriskyDMtask,2022.2.4,161.59631313492338,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,58.28728739998769,58.28728739998769,58.28728739998769,58.28728739998769,58.28728739998769,58.28728739998769,58.28728739998769,60.25666569999885,60.25666569999885,60.25666569999885,v,0.8529413000214845,61.13815180002712,62.18288099998608,62.18288099998608,62.18288099998608,62.18288099998608,62.18288099998608,62.18288099998608,53.27,63.173976200050674,66.21103360003326,,,,,,,,,,,,,,,1,,,,,,,,,,,,,001,2023-04-20_14h38.00.729,CGTriskyDMtask,2022.2.4,161.59631313492338,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,,,,,,,,66.21103360003326,66.21103360003326,66.21103360003326,66.21103360003326,66.21103360003326,66.21103360003326,66.21103360003326,68.19320650002919,68.19320650002919,68.19320650002919,n,1.5296380000654608,69.74269400001504,70.77518460003193,70.77518460003193,70.77518460003193,70.77518460003193,70.77518460003193,70.77518460003193,8.27,71.77808950003237,73.8204882000573,,,,,,,,,,,,,,,2,,,,,,,,,,,,,001,2023-04-20_14h38.00.729,CGTriskyDMtask,2022.2.4,161.59631313492338,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,,,,,,,,73.8204882000573,73.8204882000573,73.8204882000573,73.8204882000573,73.8204882000573,73.8204882000573,73.8204882000573,75.7980685000075,75.7980685000075,75.7980685000075,None,,77.79803820000961,80.8194547999883,80.8194547999883,80.8194547999883,80.8194547999883,80.8194547999883,80.8194547999883,nan,81.83306309999898,82.85016310005449,,,,,,,,,,,,,,,1,,,,,,,,,,,,,001,2023-04-20_14h38.00.729,CGTriskyDMtask,2022.2.4,161.59631313492338,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.85016310005449,82.85016310005449,v,2.3728627000236884,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_14h38.00.729,CGTriskyDMtask,2022.2.4,161.59631313492338,
,,,,,2,25.2,0.0,5.4,0,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.28071170009207,85.28071170009207,85.28071170009207,85.28071170009207,85.28071170009207,85.28071170009207,85.28071170009207,87.25534250005148,87.25534250005148,87.25534250005148,2,n,0.4715637000044808,87.75652779999655,88.28386750002392,88.28386750002392,88.28386750002392,88.28386750002392,88.28386750002392,0.0,1,89.27006340003572,,001,2023-04-20_14h38.00.729,CGTriskyDMtask,2022.2.4,161.59631313492338,
,,,,,2,17.73,0.0,3.13,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.29104170005303,90.29104170005303,90.29104170005303,90.29104170005303,90.29104170005303,90.29104170005303,90.29104170005303,92.27051489998121,92.27051489998121,92.27051489998121,2,None,,94.2730995999882,94.78229690005537,94.78229690005537,94.78229690005537,94.78229690005537,94.78229690005537,nan,nan,95.77340459998231,,001,2023-04-20_14h38.00.729,CGTriskyDMtask,2022.2.4,161.59631313492338,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.78720630006865,96.78720630006865,96.78720630006865,96.78720630006865,96.78720630006865,96.78720630006865,96.78720630006865,98.75915609998628,98.75915609998628,98.75915609998628,1,None,,100.77525960002095,101.27460040000733,101.27460040000733,101.27460040000733,101.27460040000733,101.27460040000733,nan,nan,102.2763086000923,,,,,,,
