riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,breaktxt.started,stopBreak.started,stopBreak.keys,stopBreak.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,8.886908499989659,10.880126100033522,return,1.3261313997209072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h57.41.939,CGTriskyDMtask,2022.2.4,60.1253131940213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.227265499997884,14.224656600039452,n,0.008545799646526575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h57.41.939,CGTriskyDMtask,2022.2.4,60.1253131940213,
18.23,0,9.45,2,1,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,14.285606400109828,14.285606400109828,14.285606400109828,14.285606400109828,14.285606400109828,14.285606400109828,14.285606400109828,16.255822999868542,16.255822999868542,16.255822999868542,n,0.5475129997357726,16.82034659991041,18.844690300058573,18.844690300058573,18.844690300058573,18.844690300058573,18.844690300058573,18.844690300058573,9.45,19.84897689986974,20.866115000098944,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h57.41.939,CGTriskyDMtask,2022.2.4,60.1253131940213,
53.27,0,35.16,1,3,1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,20.866115000098944,20.866115000098944,20.866115000098944,20.866115000098944,20.866115000098944,20.866115000098944,20.866115000098944,22.862311199773103,22.862311199773103,22.862311199773103,v,0.5090016997419298,23.393522399943322,24.409896799828857,24.409896799828857,24.409896799828857,24.409896799828857,24.409896799828857,24.409896799828857,0,25.42430659988895,28.436133599840105,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h57.41.939,CGTriskyDMtask,2022.2.4,60.1253131940213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.436133599840105,28.436133599840105,n,1.706970099825412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-10_14h57.41.939,CGTriskyDMtask,2022.2.4,60.1253131940213,
,,,,,1,17.73,0.0,3.13,0,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.17011069972068,30.17011069972068,30.17011069972068,30.17011069972068,30.17011069972068,30.17011069972068,30.17011069972068,32.16481769969687,32.16481769969687,32.16481769969687,1,v,0.5537545997649431,32.74633099976927,33.24619330000132,33.24619330000132,33.24619330000132,33.24619330000132,33.24619330000132,33.24619330000132,0.0,1,34.2607442997396,,,,,,,,,,,,,,,,,,001,2023-01-10_14h57.41.939,CGTriskyDMtask,2022.2.4,60.1253131940213,
,,,,,2,28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.27145290002227,35.27145290002227,35.27145290002227,35.27145290002227,35.27145290002227,35.27145290002227,35.27145290002227,37.24052309989929,37.24052309989929,37.24052309989929,2,n,0.5800012000836432,37.838626800104976,38.33856889978051,38.33856889978051,38.33856889978051,38.33856889978051,38.33856889978051,38.33856889978051,0.0,1,39.352833199780434,,,,,,,,,,,,,,,,,,001,2023-01-10_14h57.41.939,CGTriskyDMtask,2022.2.4,60.1253131940213,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.352538499981165,40.352538499981165,40.352538499981165,40.352538499981165,40.352538499981165,40.352538499981165,40.352538499981165,42.33294799970463,42.33294799970463,42.33294799970463,2,n,0.3447269997559488,42.69791779993102,43.19779000012204,43.19779000012204,43.19779000012204,43.19779000012204,43.19779000012204,43.19779000012204,0.0,1,44.21232349984348,,,,,,,,,,,,,,,,,,001,2023-01-10_14h57.41.939,CGTriskyDMtask,2022.2.4,60.1253131940213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd105_muInd201.csv,45.558747599832714,49.57088099978864,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd105_muInd201.csv,105,201,49.57088099978864,1.9599683582782745e-05,51.58464449970052,51.58464449970052,return,1.666566599626094,,,,,,001,2023-01-10_14h57.41.939,CGTriskyDMtask,2022.2.4,60.1253131940213,
,,,,,2,7.66675390849123,0,4.5003943475429,,0.456532801787895,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.30579049978405,53.30579049978405,53.30579049978405,53.30579049978405,53.30579049978405,53.30579049978405,53.30579049978405,55.280201899819076,55.280201899819076,55.280201899819076,2,n,0.8629931998439133,56.161338299978524,,56.67807490006089,56.67807490006089,56.67807490006089,56.67807490006089,56.67807490006089,7.66675390849123,1,57.67539360001683,,,,,,,,,,,,,,,,,,001,2023-01-10_14h57.41.939,CGTriskyDMtask,2022.2.4,60.1253131940213,
