riskyGain,riskyLoss,alternative,isi,iti,loc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,9.905415199929848,11.899604900041595,return,6.629322099965066,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-09_13h25.02.701,CGTriskyDMtask,2022.2.4,60.08878714044163,
,,,,,,,,,,,,,,18.556191300041974,20.553408599924296,v,0.0632395998109132,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-09_13h25.02.701,CGTriskyDMtask,2022.2.4,60.08878714044163,
18.23,0,9.45,2,1,1,0,0,0,0,,,,,,,,,20.654304699972272,20.654304699972272,20.654304699972272,20.654304699972272,20.654304699972272,20.654304699972272,20.654304699972272,22.633588100085035,22.633588100085035,22.633588100085035,v,1.0097276999149472,23.665265999967232,25.679239300079644,25.679239300079644,25.679239300079644,25.679239300079644,25.679239300079644,25.679239300079644,18.23,26.694039900088683,27.719073200132698,,001,2023-05-09_13h25.02.701,CGTriskyDMtask,2022.2.4,60.08878714044163,
53.27,0,35.16,1,3,1,0,1,1,1,,,,,,,,,27.719073200132698,27.719073200132698,27.719073200132698,27.719073200132698,27.719073200132698,27.719073200132698,27.719073200132698,29.70624090009369,29.70624090009369,29.70624090009369,v,1.3628878998570144,31.087479799985886,32.10279190004803,32.10279190004803,32.10279190004803,32.10279190004803,32.10279190004803,32.10279190004803,53.27,33.11770540010184,36.13266050000675,,001,2023-05-09_13h25.02.701,CGTriskyDMtask,2022.2.4,60.08878714044163,
,,,,,,,,,,,,,,,,,,36.13266050000675,36.13266050000675,36.13266050000675,36.13266050000675,36.13266050000675,36.13266050000675,36.13266050000675,38.12687860010192,38.12687860010192,38.12687860010192,None,,40.14031179994345,41.16515620006248,41.16515620006248,41.16515620006248,41.16515620006248,41.16515620006248,41.16515620006248,nan,42.17055479995906,,,,,,,,
