riskyGain,riskyLoss,alternative,isi,iti,loc,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,riskyoption1,riskyoption2,safeoption,ischecktrial,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracTriNum.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[3, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3, 3, 3.5, 3]","[3.5, 3, 3, 3, 3, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3, 3, 3.5]",15.995927800002391,17.995622400001594,return,0.05889589999424061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_17h04.39.848,cgeRDMtask,2022.2.4,60.11197658888426,
,,,,,,,,,,,,,,,,,,,,,,,,18.07878940000228,20.076224000000366,v,0.29792389999784064,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_17h04.39.848,cgeRDMtask,2022.2.4,60.11197658888426,
18.23,0,9.45,1,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,20.492042000001675,20.492042000001675,20.492042000001675,20.492042000001675,20.492042000001675,20.492042000001675,20.492042000001675,20.492042000001675,20.492042000001675,20.492042000001675,20.492042000001675,v,0.16968729999643983,20.691808200001105,21.718457700000727,21.718457700000727,21.718457700000727,21.718457700000727,21.718457700000727,21.718457700000727,18.23,22.722069499999634,25.745192000002135,,,,,999,2023-09-30_17h04.39.848,cgeRDMtask,2022.2.4,60.11197658888426,
53.27,0,35.16,1,3.5,1,0,1,1,1,,,,,,,,,,,,,,,,,,,25.745192000002135,25.745192000002135,25.745192000002135,25.745192000002135,25.745192000002135,25.745192000002135,25.745192000002135,25.745192000002135,25.745192000002135,25.745192000002135,25.745192000002135,n,0.8697348999958194,26.63273310000295,27.654853800002456,27.654853800002456,27.654853800002456,27.654853800002456,27.654853800002456,27.654853800002456,35.16,28.663253300001088,32.20055660000071,,,,,999,2023-09-30_17h04.39.848,cgeRDMtask,2022.2.4,60.11197658888426,
8.27,0,1.15,1,3,2,0,2,2,2,,,,,,,,,,,,,,,,,,,32.20055660000071,32.20055660000071,32.20055660000071,32.20055660000071,32.20055660000071,32.20055660000071,32.20055660000071,32.20055660000071,32.20055660000071,32.20055660000071,32.20055660000071,v,0.4137816999973438,32.640524300000834,33.668841800001246,33.668841800001246,33.668841800001246,33.668841800001246,33.668841800001246,33.668841800001246,1.15,34.67074060000232,37.682863900001394,,,,,999,2023-09-30_17h04.39.848,cgeRDMtask,2022.2.4,60.11197658888426,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.682863900001394,37.682863900001394,n,0.6506959999969695,999,2023-09-30_17h04.39.848,cgeRDMtask,2022.2.4,60.11197658888426,
